State,AQI-US,Status,Latitude,Longitude
Andhra Pradesh,126,POOR,15.9129,79.74
Arunachal Pradesh,105,POOR,28.218,94.7278
Assam,54,MODERATE,26.2006,92.9376
Bihar,59,MODERATE,25.0961,85.3131
Chandigarh,172,POOR,30.7333,76.7794
Chhattisgarh,75,MODERATE,21.2787,81.8661
Dadra And Nagar Haveli,170,POOR,20.1809,73.0169
Daman And Diu,172,POOR,20.4283,72.8397
Delhi,174,POOR,28.7041,77.1025
Goa,114,POOR,15.2993,74.124
Gujarat,176,POOR,22.2587,71.1924
Haryana,157,POOR,29.0588,76.0856
Himachal Pradesh,93,MODERATE,31.1048,77.1734
Jammu And Kashmir,92,MODERATE,33.2778,75.3412
Jharkhand,28,GOOD,23.6102,85.2799
Karnataka,109,POOR,15.3173,75.7139
Kerala,65,MODERATE,10.8505,76.2711
Madhya Pradesh,126,POOR,22.9734,78.6569
Maharashtra,127,POOR,19.7515,75.7139
Manipur,69,MODERATE,24.6637,93.9063
Meghalaya,91,MODERATE,25.467,91.3662
Mizoram,15,GOOD,23.1645,92.9376
Nagaland,126,POOR,26.1584,94.5624
Odisha,78,MODERATE,20.9517,85.0985
Puducherry,122,POOR,11.9416,79.8083
Punjab,152,POOR,31.1471,75.3412
Rajasthan,165,POOR,27.0238,74.2179
Sikkim,17,GOOD,27.533,88.5122
Tamil Nadu,94,MODERATE,11.1271,78.6569
Telangana,108,POOR,18.1124,79.0193
Tripura,105,POOR,23.9408,91.9882
Uttar Pradesh,141,POOR,26.8467,80.9462
Uttarakhand,144,POOR,30.0668,79.0193
West Bengal,72,MODERATE,22.9868,87.855
