State and Union Territory,2011 Total
Jammu & Kashmir,76.8
Himachal Pradesh,93.7
Punjab,97.6
Chandigarh,99.3
Uttarakhand,92.2
Haryana,93.8
Delhi,95
Rajasthan,78.1
Uttar Pradesh,95.1
Bihar,94
Sikkim,85.3
Arunachal Pradesh,78.6
Nagaland,53.8
Manipur,45.4
Mizoram,60.4
Tripura,67.5
Meghalaya,44.7
Assam,69.9
West Bengal,92.2
Jharkhand,60.1
Odisha,75.3
Chhattisgarh,86.3
Madhya Pradesh,78
Gujarat,90.3
Daman & Diu,98.7
Dadra & Nagar Haveli,91.6
Maharashtra,83.4
Andhra Pradesh,90.5
Karnataka,87.5
Goa,85.7
Lakshadweep,22.8
Kerala,33.5
Tamil Nadu,92.5
Puducherry,97.8
Andaman & Nicobar Islands,85.5
