State,AQI-US,Status
Andhra Pradesh,126,POOR
Arunachal Pradesh,105,POOR
Assam,54,MODERATE
Bihar,59,MODERATE
Chandigarh,172,POOR
Chhattisgarh,75,MODERATE
Dadra And Nagar Haveli,170,POOR
Daman And Diu,172,POOR
Delhi,174,POOR
Goa,114,POOR
Gujarat,176,POOR
Haryana,157,POOR
Himachal Pradesh,93,MODERATE
Jammu And Kashmir,92,MODERATE
Jharkhand,28,GOOD
Karnataka,109,POOR
Kerala,65,MODERATE
Madhya Pradesh,126,POOR
Maharashtra,127,POOR
Manipur,69,MODERATE
Meghalaya,91,MODERATE
Mizoram,15,GOOD
Nagaland,126,POOR
Odisha,78,MODERATE
Puducherry,122,POOR
Punjab,152,POOR
Rajasthan,165,POOR
Sikkim,17,GOOD
Tamil Nadu,94,MODERATE
Telangana,108,POOR
Tripura,105,POOR
Uttar Pradesh,141,POOR
Uttarakhand,144,POOR
West Bengal,72,MODERATE
