State/Union Territory,Agricultural Land (in thousand hectares)
Andhra Pradesh,8999
Arunachal Pradesh,424
Assam,3302
Bihar,6573
Chhattisgarh,5562
Goa,197
Gujarat,12661
Haryana,3759
Himachal Pradesh,816
Jammu & Kashmir,1081
Jharkhand,4323
Karnataka,12777
Kerala,2246
Madhya Pradesh,17207
Maharashtra,20751
Manipur,453
Meghalaya,1013
Mizoram,368
Nagaland,694
Odisha,6745
Punjab,4235
Rajasthan,25493
Sikkim,97
Tamil Nadu,8110
Telangana,6770
Tripura,271
Uttarakhand,1550
Uttar Pradesh,18826
West Bengal,5625
Andaman & Nicobar Islands,28
Chandigarh,1
Dadra & Nagar Haveli,24
Daman & Diu,3
Delhi,53
Lakshadweep,2
Puducherry,29
