State/Union Territory,Electricity Consumption (GWh) 2020-21
Andhra Pradesh,51756
Arunachal Pradesh,405
Assam,7356
Bihar,24108
Chandigarh,1349
Chhattisgarh,23361
Delhi,26319
Goa,3700
Gujarat,92276
Haryana,41944
Himachal Pradesh,8635
Jammu & Kashmir,9984
Jharkhand,21375
Karnataka,62783
Kerala,22599
Madhya Pradesh,60954
Maharashtra,126423
Manipur,651
Meghalaya,1326
Mizoram,454
Nagaland,683
Odisha,20610
Punjab,50286
Rajasthan,64888
Sikkim,415
Tamil Nadu,94592
Telangana,57896
Tripura,982
Uttar Pradesh,93600
Uttarakhand,11225
West Bengal,48394
A&N Island,245
D & N Haveli,5286
Daman & Diu,2137
Lakshadweep,53
Puducherry,2603
